Sample Id,Supertype,Section.Label,Neurotransmitter.Type,Anatomical.Division,Cluster,Class,Anatomical.Structure,Subclass,Anatomical.Substructure
9dbdcdcd-1751-43d8-8db7-736ba7df260e,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
8fa1b8dd-7d7c-4a65-a362-2a5ab1bf22b9,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3249 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
7f8728f9-a89b-4cfc-ab13-f29a7dea43b8,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3241 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
1d982c0c-c549-4b35-988c-fea90a1a1b7c,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
2fae5243-dda1-4cde-88e0-615e5aaf5c0f,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
7e501001-351c-46d2-80a5-e1971e367844,0715 PRC-PAG Tcf7l2 Irx2 Glut_3,C57BL6J-638850.33,Glut,MB,2917 PRC-PAG Tcf7l2 Irx2 Glut_3,19 MB Glut,NOT,167 PRC-PAG Tcf7l2 Irx2 Glut,NOT
33761cf8-68ad-40b4-ab5c-a6c2e2bb0a1e,0761 SCig Foxb1 Glut_2,C57BL6J-638850.33,Glut,MB,3223 SCig Foxb1 Glut_2,19 MB Glut,NOT,176 SCig Foxb1 Glut,NOT
c569822b-6cfd-44ec-9b3e-f7721440e5aa,0715 PRC-PAG Tcf7l2 Irx2 Glut_3,C57BL6J-638850.33,Glut,MB,2917 PRC-PAG Tcf7l2 Irx2 Glut_3,19 MB Glut,NOT,167 PRC-PAG Tcf7l2 Irx2 Glut,NOT
7e2d98f8-2d1e-4355-8756-4fa845935cda,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
070d1ba8-0bd4-45ab-965b-eeaa3614acae,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
eee40c1f-c60f-408b-9fe5-a4acfb23833f,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
0a158735-2f93-43e7-b99f-efc9c16d28ff,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
117295a2-d89c-453f-8ec0-39d5e92779c8,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
493e7b62-535b-454c-899b-09899f5fba57,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
c7701c94-fb6f-47d0-a01c-e14ae96f4da0,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3242 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
db809184-3774-4dc4-8851-68e322407ad6,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
451d401c-b5d9-42b5-a753-fa6e71d3e198,0785 SCsg Pde5a Glut_1,C57BL6J-638850.33,Glut,MB,3361 SCsg Pde5a Glut_1,19 MB Glut,NOT,187 SCsg Pde5a Glut,NOT
9d9318ed-ab17-463a-81ed-2a1aba8fd2fb,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
cda09af5-d43b-4d1e-9f52-4e1c83e86e83,0787 SCsg Pde5a Glut_3,C57BL6J-638850.33,Glut,MB,3368 SCsg Pde5a Glut_3,19 MB Glut,NOT,187 SCsg Pde5a Glut,NOT
1adaaa85-5691-41ec-964d-b72cbb6c3528,0787 SCsg Pde5a Glut_3,C57BL6J-638850.33,Glut,MB,3368 SCsg Pde5a Glut_3,19 MB Glut,NOT,187 SCsg Pde5a Glut,NOT
f106f321-bb4c-4d21-b92e-4f71982d297c,0786 SCsg Pde5a Glut_2,C57BL6J-638850.33,Glut,MB,3363 SCsg Pde5a Glut_2,19 MB Glut,NOT,187 SCsg Pde5a Glut,NOT
3a2ec0fb-5b45-45a4-bd75-2f7b7630c1ef,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
30e61ce0-bf51-4202-897d-4539f6f3a6f8,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
a6820d30-0c89-4ca1-9049-783010686614,0787 SCsg Pde5a Glut_3,C57BL6J-638850.33,Glut,MB,3367 SCsg Pde5a Glut_3,19 MB Glut,NOT,187 SCsg Pde5a Glut,NOT
c439bdf9-686c-4ce8-92c8-bfd670c11cc1,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
fef37931-e848-4703-875b-a6619aad43f9,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
fd9386d8-cc87-49de-af8c-977b63632a7a,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
